PALM,FRUGIVORE,frugClass,frugFamily,biogeographicRegion,InteractionID,Unique_interaction,frugBodyMASS,FruitLength_cm,PalmTribe,PalmSubfamily,Country,botanicalCountry,referenceKey
Astrocaryum gratum,Proechimys,MAMMAL,Echimyidae,Neotropics,Astrocaryum gratum_Proechimys,1,284.997,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Sapajus apella,MAMMAL,Cebidae,Neotropics,Astrocaryum gratum_Sapajus apella,1,2500,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Tapirus terrestris,MAMMAL,Tapiridae,Neotropics,Astrocaryum gratum_Tapirus terrestris,1,207500.907,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Tayassu pecari,MAMMAL,Tayassuidae,Neotropics,Astrocaryum gratum_Tayassu pecari,1,32233.688,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gynacanthum,Rupicola rupicola,BIRDS,Cotingidae,Neotropics,Astrocaryum gynacanthum_Rupicola rupicola,1,194.56,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Brycon amazonicus,FISH,Characidae,Neotropics,Astrocaryum jauari_Brycon amazonicus,0,NA,3.5,Cocoseae,Arecoideae,COLOMBIA,CLM,6WBPN3MQ
Astrocaryum jauari,Brycon amazonicus,FISH,Characidae,Neotropics,Astrocaryum jauari_Brycon amazonicus,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Brycon bicolor,FISH,Characidae,Neotropics,Astrocaryum jauari_Brycon bicolor,1,NA,3.5,Cocoseae,Arecoideae,VENEZUELA,VEN,6WBPN3MQ
Astrocaryum jauari,Brycon falcatus,FISH,Characidae,Neotropics,Astrocaryum jauari_Brycon falcatus,1,NA,3.5,Cocoseae,Arecoideae,COLOMBIA,CLM,6WBPN3MQ
Astrocaryum jauari,Brycon hilarii,FISH,Characidae,Neotropics,Astrocaryum jauari_Brycon hilarii,1,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,6WBPN3MQ
Astrocaryum jauari,Brycon melanopterus,FISH,Characidae,Neotropics,Astrocaryum jauari_Brycon melanopterus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Brycon melanopterus,FISH,Characidae,Neotropics,Astrocaryum jauari_Brycon melanopterus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Brycon melanopterus,FISH,Characidae,Neotropics,Astrocaryum jauari_Brycon melanopterus,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Colossoma bidens,FISH,Characidae,Neotropics,Astrocaryum jauari_Colossoma bidens,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,AET8XMTR
Astrocaryum jauari,Colossoma bidens,FISH,Characidae,Neotropics,Astrocaryum jauari_Colossoma bidens,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Colossoma bidens,FISH,Characidae,Neotropics,Astrocaryum jauari_Colossoma bidens,0,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Colossoma bidens,FISH,Characidae,Neotropics,Astrocaryum jauari_Colossoma bidens,1,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,SIJRE2S6
Astrocaryum jauari,Colossoma macropomum,FISH,Characidae,Neotropics,Astrocaryum jauari_Colossoma macropomum,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Colossoma macropomum,FISH,Characidae,Neotropics,Astrocaryum jauari_Colossoma macropomum,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,AET8XMTR
Astrocaryum jauari,Colossoma macropomum,FISH,Characidae,Neotropics,Astrocaryum jauari_Colossoma macropomum,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Colossoma macropomum,FISH,Characidae,Neotropics,Astrocaryum jauari_Colossoma macropomum,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,IAHDGXQD
Astrocaryum jauari,Colossoma macropomum,FISH,Characidae,Neotropics,Astrocaryum jauari_Colossoma macropomum,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Leporinus friederici,FISH,Anostomidae,Neotropics,Astrocaryum jauari_Leporinus friederici,1,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Leptorinus,FISH,Anostomidae,Neotropics,Astrocaryum jauari_Leptorinus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Leptorinus,FISH,Anostomidae,Neotropics,Astrocaryum jauari_Leptorinus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Leptorinus,FISH,Anostomidae,Neotropics,Astrocaryum jauari_Leptorinus,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Lithodoras dorsalis,FISH,Doraridae,Neotropics,Astrocaryum jauari_Lithodoras dorsalis,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
